Drug_Name,Reason,Description
CYAPTIN Syrup 200ml,Appetite,for loss of appetite weight loss anorexia nervosa
CYAPTIN WITH CALCIUM Syrup 200ml,Appetite,for loss of appetite weight loss anorexia nervosa and as an adjunct anti-tubercular and antiretroviral regimens for weight gain
Cydin AS Syrup 200ml,Appetite,conjunctivitis due inhalant allergens and foods
Cylip P Drops 30mlCylip P Syrup 200ml,Appetite,for loss of appetite
CYP L Drops 15mlCYP L Syrup 200ml,Appetite,for loss of appetite weight loss anorexia nervosa
Cypee Syrup 200ml,Appetite,for loss of appetite weight loss anorexia nervosa and as an adjunct anti-tubercular and antiretroviral regimens for weight gain
Cyperin Syrup 200ml,Appetite,conjunctivitis due inhalant allergens and foods
Cypon Drops 15mlCypon Capsule 10'SCypon Syrup 200ml,Appetite,for loss of appetite
Cypon G Syrup 200ml,Appetite,for loss of appetite weight loss anorexia nervosa
Cypotin Syrup 200ml,Appetite,for loss of appetite weight loss anorexia nervosa and as an adjunct anti-tubercular and antiretroviral regimens for weight gain
Cyprodol Syrup 100mlCyprodol 4mg Tablet 10'SCyprodol Syrup 200ml,Appetite,conjunctivitis due inhalant allergens and foods
Cyprol Syrup 200ml,Appetite,for loss of appetite
Cyprowal Syrup 100mlCyprowal Syrup 200ml,Appetite,for loss of appetite weight loss anorexia nervosa
Cypstar Syrup 200ml,Appetite,for loss of appetite weight loss anorexia nervosa and as an adjunct anti-tubercular and antiretroviral regimens for weight gain
Digipen Syrup 200ml,Appetite,conjunctivitis due inhalant allergens and foods
Episure Syrup 200ml,Appetite,conjunctivitis due inhalant allergens and foods
Fenu G Powder 3Gm,Appetite,for loss of appetite
Grogro Syrup 200ml,Appetite,for loss of appetite weight loss anorexia nervosa
GROMARK Drops 15mlGROMARK Syrup 200ml,Appetite,for loss of appetite weight loss anorexia nervosa and as an adjunct anti-tubercular and antiretroviral regimens for weight gain
HEPDINE Syrup 200ml,Appetite,conjunctivitis due inhalant allergens and foods
HEPTAD Syrup 200ml,Appetite,for loss of appetite
Heptidin 2mg Tablet 10'SHeptidin 4mg Tablet 10'S,Appetite,"for loss of appetite, weight loss, anorexia nervosa,"
Hungree Syrup 200ml,Appetite,"Â for loss of appetite, weight loss, anorexia nervosa, and as an adjunct anti-tubercular and antiretroviral regimens for weight gain"
Hysin Drops 30mlHysin Syrup 200ml,Appetite,conjunctivitis due inhalant allergens and foods
Ibiapt Syrup 200ml,Appetite,for loss of appetite
Kemlactin Syrup 200ml,Appetite,"for loss of appetite, weight loss, anorexia nervosa,"
Longifene A Syrup 200ml,Appetite,"Â for loss of appetite, weight loss, anorexia nervosa, and as an adjunct anti-tubercular and antiretroviral regimens for weight gain"
Lupactin 4mg Tablet 10'SLupactin 2mg Tablet 10'SLupactin Syrup 200ml,Appetite,conjunctivitis due inhalant allergens and foods
Lupactin Forte Syrup 200ml,Appetite,for loss of appetite
Neopedine Syrup 200ml,Appetite,"for loss of appetite, weight loss, anorexia nervosa,"
Normatone Syrup 210ml,Appetite,"Â for loss of appetite, weight loss, anorexia nervosa, and as an adjunct anti-tubercular and antiretroviral regimens for weight gain"
Oraxin Syrup 200mlOraxin Syrup 100ml,Appetite,conjunctivitis due inhalant allergens and foods
Papytazyme Syrup 200ml,Appetite,conjunctivitis due inhalant allergens and foods
PELCYP Syrup 200ml,Appetite,for loss of appetite
PEP ON Syrup 200mlPEP ON 4mg Tablet 10'S,Appetite,"for loss of appetite, weight loss, anorexia nervosa,"
Practin Syrup 200mlPractin 4mg Tablet 10'S,Appetite,"Â for loss of appetite, weight loss, anorexia nervosa, and as an adjunct anti-tubercular and antiretroviral regimens for weight gain"
Practin EN Syrup 200ml,Appetite,conjunctivitis due inhalant allergens and foods
Practin Pearls 4mg Capsule 10'S,Appetite,for loss of appetite
Rarritol Syrup 200ml,Appetite,"for loss of appetite, weight loss, anorexia nervosa,"
Toractin Syrup 200ml,Appetite,"Â for loss of appetite, weight loss, anorexia nervosa, and as an adjunct anti-tubercular and antiretroviral regimens for weight gain"
Torliv Syrup 100mlTorliv Syrup 200ml,Appetite,conjunctivitis due inhalant allergens and foods
Tricohep Syrup 200ml,Appetite,for loss of appetite
Amiodar 200mg Tablet 10'SAmiodar 100mg Tablet 10'S,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
Amiodarone 150mg Injection 1'S,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
Amiodon 200mg Tablet 10'SAmiodon 100mg Tablet 10'S,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
Amione 100mg Tablet 10'SAmione 200mg Tablet 10'S,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
Amipace 200mg Tablet 10'SAmipace 100mg Tablet 10'S,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
ATP UP 60mg Tablet 10'S,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
Cordarone 100mg Tablet 10'SCordarone Injection 3ml,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
Cordarone X Tablet 10'S,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
Desfre 250mg Tablet 10'S,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
Dilsave 4mg Tablet 10'SDilsave 400mg Tablet 10'SDilsave 8mg Tablet 10'S,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
Dixin Injection 2mlDixin 0.25mg Tablet 10'S,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
Dixin Pead 50mcg Syrup 60ml,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
Duron 150mg Injection 3mlDuron 200mg Injection 1'SDuron 200mg Tablet 10'SDuron 100mg Tablet 10'S,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
Eurythmic 200mg Tablet 10'SEurythmic 150mg Prefilled Syringe 3mlEURYTHMIC 100mg Tablet 10's,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
Flecarite 50mg Tablet 10'SFlecarite 100mg Tablet 10'S,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
Lanoxin 0.25mg Tablet 10'S,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
Mexohar 50Mg Capsule 30's,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
Multaq 400mg Tablet 10'S,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
Norpace 100mg Capsule 10'S,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
Pacenorm 200mg Tablet 10'S,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
Pradil 150mg Tablet 10'S,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
Ritebeat 200mg Tablet 10'SRitebeat 100mg Tablet 10'S,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
Tachyra 100mg Tablet 10'STachyra Injection 3mlTachyra 200mg Tablet 10'S,Arrhythmiasis,"reduce fast or uneven heartbeats known as atrial flutter, atrial fibrillation"
Actemra 200mg Injection 1'SActemra 400mg Injection 1'SActemra 80mg Injection 1'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Actis C2 Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Adalirel 40mg Injection 1'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Aramact 100mg Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Arava 20mg Tablet 30'SArava 10mg Tablet 30'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Arth 500/400mg Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Arthrella Ointment 30gm,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Arthromuv Capsule 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Artilage Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
AZAFLY 50mg Tablet 10's,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Bestlin Liniment 60ml,Arthritis,"improves synovial fluid consistency and volume, increasing cushioning action"
Biojoynt Tablet 10'S,Arthritis,helps support cartilage regeneration
Bioquin 200mg Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Blaztere 4mg Injection 1'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Bonheal 250mg Syrup 200ml,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Bonheal Max Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Bonspark 2200IU Nasal Spray 3.7ml,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Cadivestin 250mg Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Cartidin 50mg Capsule 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Cartigen DN Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Cartipil Tablet 10'S,Arthritis,"improves synovial fluid consistency and volume, increasing cushioning action"
Cartisafe D Tablet 10'SCartisafe D OD Tablet 10'S,Arthritis,helps support cartilage regeneration
Celedol 200mg Capsule 10'SCeledol 100mg Capsule 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Cilamin 250mg Capsule 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Cipleumab 40mg Prefilled Syringe 0.8ml,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Cleft 20mg Tablet 10'SCleft 10mg Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Coerip Trio Capsule 14'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Collashot 10gm Oral Solution 25ml,Arthritis,reduces friction in the joints and also relieves pain and inflammation
COLLPURE Tablet 10's,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
CQ Heal 500mg Capsule 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Dcr 50Mg Capsule 10's,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Dcr Plus Tablet 10's,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Decerin CM Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Dfriz Tablet 10'S,Arthritis,"improves synovial fluid consistency and volume, increasing cushioning action"
DG 3 Tablet 10'S,Arthritis,helps support cartilage regeneration
DGM Plus Capsule 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Diajoint 50mg Tablet 10'SDiajoint Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Diasol 50mg Capsule 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Diasten GM 500/50/250mg Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
DICEWIN 50mg Tablet 10's,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Distamin 250mg Capsule 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Dolestin 250mg Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Durajoint 50mg Capsule 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Durajoint GM Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Durolane Injection(Pfs) 3ml,Arthritis,"improves synovial fluid consistency and volume, increasing cushioning action"
Dycerin 50mg Capsule 10'S,Arthritis,helps support cartilage regeneration
Dycerin A Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Dycerin GM Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Eljoin 50mg Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Eltrodar Capsule 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Enbrel 50mg Injection(Pfs) 1ml,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Etoford 120mg Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Etofree 400mg Tablet 10'SEtofree ER 600mg Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Etofree P Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Etogesic MR 4mg Tablet 10'SEtogesic 400mg Tablet 10'SEtogesic ER 600mg Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Etolife 400mg Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Etoload ER 400mg Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Etomax 400mg Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Etornext ER 600mg Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Etosafe ER Tablet 10'S,Arthritis,"improves synovial fluid consistency and volume, increasing cushioning action"
Etova MR Forte Tablet 10'SEtova ER 600mg Tablet 10'SEtova 200mg Tablet 10'SEtova 400mg Tablet 10'SEtova ER 400mg Tablet 10'SEtova MR 400/4mg Tablet 10'SEtova 300mg Tablet 10'S,Arthritis,helps support cartilage regeneration
Fitjoint Capsule 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Fitjoint GM Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Freeup ER Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Freevestin Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Gemcerin 50mg Capsule 10'SGemcerin 50mg Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Gemcerin G Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Gencart Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Glucozone Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Golsalic Tablet 10'S,Arthritis,"improves synovial fluid consistency and volume, increasing cushioning action"
Gudcerin 50mg Capsule 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
HA Kem Injection,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Halonix One Injection(Pfs) 6mlHalonix Injection(Pfs) 1ml,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Hilin GM Tablet 10'SHilin 50mg Capsule 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Hilin Ace Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Hilin Plus Capsule 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Hyalgan 20mg Injection 2ml,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Hyalone 60mg Injection 4ml,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
HYDROCAD 200mg Tablet 10's,Arthritis,"improves synovial fluid consistency and volume, increasing cushioning action"
Hylasto One Injection(Pfs) 6ml,Arthritis,helps support cartilage regeneration
HYNOV Injection(PFS) 6ml,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Hytasone 8mg Injection(Pfs) 6ml,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Hyvisc Plus Injection 0.55ml,Arthritis,reduces friction in the joints and also relieves pain and inflammation
IAL System Injection(Pfs) 1.1Ml,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Intacept 25mg Injection 0.5ml,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Jaizzy 20Mg Tablet 10'sJaizzy 50Mg Capsule 10's,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Joincerin M Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Jointace DN Tablet 15'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Jointace BS 750/250/250mg Tablet 15'S,Arthritis,"improves synovial fluid consistency and volume, increasing cushioning action"
Jointace DN 750/50/200mg Tablet 10'S,Arthritis,helps support cartilage regeneration
Jointace DN Super Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Jointace Forte 400mg Tablet 6'SJointace Forte 750/400mg Tablet 30'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Jointace Plus Tablet 15'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Kineflex 10mg Injection 2ml,Arthritis,reduces friction in the joints and also relieves pain and inflammation
KNEESAFE GM Tablet 10's,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Kondro Acute Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Kondro Cerin 50mg Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Lefno 5mg Tablet 10'SLefno 20mg Tablet 10'SLefno 10mg Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Lefra 10mg Tablet 10'SLefra 20mg Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Lefuma 20mg Tablet 10'SLefuma 10mg Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Lefumide 20mg Tablet 10'SLefumide 10mg Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Lefumod 10mg Tablet 10'SLefumod 20mg Tablet 10'S,Arthritis,"improves synovial fluid consistency and volume, increasing cushioning action"
Lubrijoint Tablet 60'S,Arthritis,helps support cartilage regeneration
Lubrijoint Plus Tablet 60'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Lubrione 20mg Injection(Pfs) 1'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Lubry GM Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Lupivestin 250mg Tablet 10'SLupivestin 500mg Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Lupoxa MR Tablet 10'SLupoxa Capsule 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Lupoxa OD 600mg Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Macroze Tablet 30'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Macvestin 500mg Tablet 10'SMacvestin 250mg Tablet 10'SMacvestin Plus Sachet 15gm,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Maxceprol Capsule 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Mienta 50mg Capsule 10'S,Arthritis,"improves synovial fluid consistency and volume, increasing cushioning action"
Mobigold Dgm Capsule 10'S,Arthritis,helps support cartilage regeneration
Mobileye 40mg Capsule 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Mobipro Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Musran ER 600mg Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Neoxacep 200 mg Capsule 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Nurokind Ortho Tablet 10'SNurokind Ortho Tablet 6'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
OA PLUS Tablet 10's,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Orbone Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Orcerin 50mg Capsule 10'SOrcerin Ointment 30gm,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Orcerin GM Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Orthokind 200mg Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Ortholix Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Orthotrue 50mg Capsule 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Orthowock Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Osicare Plus Tablet 10'S,Arthritis,"improves synovial fluid consistency and volume, increasing cushioning action"
Osiris 300mg Capsule 10'S,Arthritis,helps support cartilage regeneration
Ostease 50mg Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Ostease Plus 50/750mg Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Ostigard 100mg Capsule 10'SOstigard 200mg Capsule 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Ostivestin 500mg Tablet 10'SOstivestin 250mg Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Ostogard 50mg Capsule 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
OSTOKIND 50mg Tablet 10's,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Ostomod 50mg Capsule 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Ostovit DM Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
OTONAC SR 200mg Tablet 10's,Arthritis,"improves synovial fluid consistency and volume, increasing cushioning action"
Oxashine Capsule 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Oxuba 200mg Capsule 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Penicitin 250mg Capsule 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Phagodol Capsule 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
PRESZA 50mg Tablet 10's,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Proxym MR Forte Tablet 10'SProxym 300mg Tablet 10'SProxym 200mg Tablet 10'SProxym Gel 30gm,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
RE Cart Capsule 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Recart Plus Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Recartix Plus Tablet 10'S,Arthritis,"improves synovial fluid consistency and volume, increasing cushioning action"
Rejulox Capsule 10'S,Arthritis,helps support cartilage regeneration
Repare 750/250mg Capsule 6'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Rofact 25mg Tablet 10Rofact 50mg Tablet 10Rofact 12.5mg Tablet 10,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Rofact RT 12.5mg Tablet 10Rofact RT 50mg Tablet 10,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Rofaday 12.5mg Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Rumalef 10mg Tablet 30'SRumalef 100mg Tablet 3'SRumalef 20mg Tablet 30'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Salazar DS Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Sazolet 500Mg Tablet 10's,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Setolac ER 300mg Tablet 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Smodace 50mg Tablet 10'S,Arthritis,"improves synovial fluid consistency and volume, increasing cushioning action"
Smodace GM Tablet 10'S,Arthritis,helps support cartilage regeneration
Spon 50mg Tablet 10'SSpon 50mg Capsule 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Tendocare Tablet 15'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Tendofirm Capsule 15'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Tendoking Tablet 15'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Tendonex Capsule 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Toldin ER 600mg Tablet 10'SToldin 400mg Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Topcerin 50mg Capsule 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Tovok Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Uniwalk 300mg Capsule 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Upkip 50mg Capsule 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Vetalog Injection 5ml,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Viscosafe 14mg Solution 1ml,Arthritis,"improves synovial fluid consistency and volume, increasing cushioning action"
Wakfree Tablet 10'S,Arthritis,helps support cartilage regeneration
Walkfree 300mg Capsule 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Walkho Tablet 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Xeljanz 5mg Tablet 60'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
Zerine 50mg Capsule 10'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Zerostiff Sachet 10.5gm,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
ZY Q Tablet 1'SZY Q 400mg Tablet 10'SZY Q 400mg Tablet 2'S,Arthritis,reduces friction in the joints and also relieves pain and inflammation
Zycel 200mg Capsule 10'SZycel 100mg Capsule 10'S,Arthritis,treatsÂ arthralgia (joint pain) which helps in the formation of the soft tissue around the joints leading joint repair
AHA GLOW S Face Wash 100ml,Cleanser,Pimple care
AHAGLOW ADVANCED FACE WASH Gel 200gm,Cleanser,Acne care
